note,source_pdf,source_exists,evidence_total,exact_ref_page,exact_other_page,fuzzy_ref_page,fuzzy_other_page,not_found,invalid_page,skipped
papers/notes/2009-comparative-review-dr-techniques.md,papers/raw/Dimensionality_Reduction_A_Comparative_Review.pdf,True,6,3,0,3,0,0,0,0
papers/notes/2011-hamann-survey-dimension-reduction.md,papers/raw/OASIcs.VLUDS.2011.135.pdf,True,6,2,0,4,0,0,0,0
papers/notes/2012-sedlmair-dr-in-the-wild.md,papers/raw/sedlmair2012tr.pdf,True,8,4,0,4,0,0,0,0
papers/notes/2014-brehmer-task-sequences.md,papers/raw/2669557.2669559.pdf,True,6,3,0,3,0,0,0,0
papers/notes/2014-sorzano-survey-dr-techniques.md,papers/raw/1403.2877v1.pdf,True,6,5,0,1,0,0,0,0
papers/notes/2015-gisbrecht-nonlinear-dr-visualization.md,papers/raw/WIREs Data Min   Knowl - 2015 - Gisbrecht - Data visualization by nonlinear dimensionality reduction.pdf,True,6,2,0,4,0,0,0,0
papers/notes/2015-perception-based-projection-evaluation.md,papers/raw/Perception-Based_Evaluation_of_Projection_Methods_for_Multidimensional_Data_Visualization (1).pdf,True,6,3,0,3,0,0,0,0
papers/notes/2017-random-projection-survey.md,papers/raw/1706.04371v4.pdf,True,6,5,0,1,0,0,0,0
papers/notes/2019-mdp-visual-analytics-survey.md,papers/raw/Multidimensional_Projection_for_Visual_Analytics_Linking_Techniques_with_Distortions_Tasks_and_Layout_Enrichment (1).pdf,True,8,6,0,2,0,0,0,0
papers/notes/2019-spectral-overlap-quality-metrics.md,papers/raw/1907.01974v2.pdf,True,6,3,0,3,0,0,0,0
papers/notes/2020-kobak-initialization-tsne-umap.md,papers/raw/s41587-020-00809-z (5).pdf,True,6,3,0,3,0,0,0,0
papers/notes/2021-quantitative-survey-dr-techniques.md,papers/raw/Toward_a_Quantitative_Survey_of_Dimension_Reduction_Techniques (1).pdf,True,6,2,0,4,0,0,0,0
papers/notes/2022-revisiting-dr-visual-cluster-analysis.md,papers/raw/Revisiting_Dimensionality_Reduction_Techniques_for_Visual_Cluster_Analysis_An_Empirical_Study.pdf,True,8,3,0,5,0,0,0,0
papers/notes/2023-zadu-library.md,papers/raw/ZADU_A_Python_Library_for_Evaluating_the_Reliability_of_Dimensionality_Reduction_Embeddings.pdf,True,5,1,0,4,0,0,0,0
papers/notes/2024-large-scale-text-spatialization.md,papers/raw/Large-Scale_Evaluation_of_Topic_Models_and_Dimensionality_Reduction_Methods_for_2D_Text_Spatialization.pdf,True,8,7,0,1,0,0,0,0
papers/notes/2025-critical-analysis-dr-four-domains.md,papers/raw/A_Critical_Analysis_of_the_Usage_of_Dimensionality_Reduction_in_Four_Domains (12).pdf,True,6,3,0,3,0,0,0,0
papers/notes/2025-jeon-reliable-va-survey.md,papers/raw/jeon25chi (4).pdf,True,6,5,0,1,0,0,0,0
papers/notes/2026-zadu-readme-warning.md,https://github.com/hj-n/zadu/blob/master/README.md,False,0,0,0,0,0,0,0,0
papers/notes/2506.08725v2-stop-misusing-tsne-umap.md,papers/raw/2506.08725v2.pdf,True,6,6,0,0,0,0,0,0
papers/notes/pending-extra-1-s2-0-s003132039900-1-s2-0-s0031320399000783-main.md,papers/raw/pending-references/1-s2.0-S0031320399000783-main.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-extra-1-s2-0-s016786551000-1-s2-0-s0167865510001364-main.md,papers/raw/pending-references/1-s2.0-S0167865510001364-main.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-extra-1-s2-0-s092523120600-1-s2-0-s0925231206004814-main.md,papers/raw/pending-references/1-s2.0-S0925231206004814-main.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-extra-1-s2-0-s092523121401-1-s2-0-s0925231214012867-main.md,papers/raw/pending-references/1-s2.0-S0925231214012867-main.pdf,True,8,7,0,1,0,0,0,0
papers/notes/pending-extra-1-s2-0-s092523121401-1-s2-0-s0925231214012909-main.md,papers/raw/pending-references/1-s2.0-S0925231214012909-main.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-extra-1-s2-0-s147692711630-1-s2-0-s1476927116304108-main.md,papers/raw/pending-references/1-s2.0-S1476927116304108-main.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-extra-1-s2-0-s187705091100-1-s2-0-s1877050911001141-main.md,papers/raw/pending-references/1-s2.0-S1877050911001141-main.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-extra-10-5923-j-ajsp-20130-10-5923-j-ajsp-20130303-01.md,papers/raw/pending-references/10.5923.j.ajsp.20130303.01.pdf,True,8,7,0,1,0,0,0,0
papers/notes/pending-extra-1403-0700v1-1403-0700v1.md,papers/raw/pending-references/1403.0700v1.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-extra-2669557-2669578-2669557-2669578.md,papers/raw/pending-references/2669557.2669578.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-extra-72608-72608.md,papers/raw/pending-references/72608.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-extra-a-geodesic-framework-a-geodesic-framework-for-analyzing-molecular-similarities.md,papers/raw/pending-references/a-geodesic-framework-for-analyzing-molecular-similarities.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-extra-bbs017-bbs017.md,papers/raw/pending-references/bbs017.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-extra-clustered-nystrm-met-clustered-nystrm-method-for-large-scale-manifold-learning.md,papers/raw/pending-references/Clustered_Nystrm_Method_for_Large_Scale_Manifold_Learning_and_Dimension_Reduction.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-extra-computer-graphics-fo-computer-graphics-forum-2015-rieck-persistent-homology-for.md,papers/raw/pending-references/Computer Graphics Forum - 2015 - Rieck - Persistent Homology for the Evaluation of Dimensionality Reduction Schemes.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-extra-donoho-grimes-2003-h-donoho-grimes-2003-hessian-eigenmaps-locally-linear-embedd.md,papers/raw/pending-references/donoho-grimes-2003-hessian-eigenmaps-locally-linear-embedding-techniques-for-high-dimensional-data.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-extra-explainers-expert-ex-explainers-expert-explorations-with-crafted-projections.md,papers/raw/pending-references/Explainers_Expert_Explorations_with_Crafted_Projections.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-extra-fernstad-et-al-2012-fernstad-et-al-2012-quality-based-guidance-for-exploratory.md,papers/raw/pending-references/fernstad-et-al-2012-quality-based-guidance-for-exploratory-dimensionality-reduction.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-extra-friedman-exploratory-friedman-exploratoryprojectionpursuit-1987.md,papers/raw/pending-references/Friedman-ExploratoryProjectionPursuit-1987.pdf,True,8,6,0,2,0,0,0,0
papers/notes/pending-extra-ilamp-exploring-high-ilamp-exploring-high-dimensional-spacing-through-backward.md,papers/raw/pending-references/iLAMP_Exploring_high-dimensional_spacing_through_backward_multidimensional_projection.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-extra-large-manifold-book-large-manifold-book-chapter.md,papers/raw/pending-references/large_manifold_book_chapter.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-extra-least-square-project-least-square-projection-a-fast-high-precision-multidimensi.md,papers/raw/pending-references/Least_Square_Projection_A_Fast_High-Precision_Multidimensional_Projection_Technique_and_Its_Application_to_Document_Mapping (1).pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-extra-medical-physics-2009-medical-physics-2009-jamieson-exploring-nonlinear-feature.md,papers/raw/pending-references/Medical Physics - 2009 - Jamieson - Exploring nonlinear feature space dimension reduction and data representation in breast.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-extra-nmap-a-novel-neighbo-nmap-a-novel-neighborhood-preservation-space-filling-algor.md,papers/raw/pending-references/Nmap_A_Novel_Neighborhood_Preservation_Space-filling_Algorithm.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-extra-orthogonal-neighborh-orthogonal-neighborhood-preserving-projections-a-projectio.md,papers/raw/pending-references/Orthogonal_Neighborhood_Preserving_Projections_A_Projection-Based_Dimensionality_Reduction_Technique.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-extra-probing-projections-probing-projections-interaction-techniques-for-interpretin.md,papers/raw/pending-references/Probing_Projections_Interaction_Techniques_for_Interpreting_Arrangements_and_Errors_of_Dimensionality_Reductions.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-extra-rkharal2006-rkharal2006.md,papers/raw/pending-references/rkharal2006.pdf,True,8,6,0,2,0,0,0,0
papers/notes/pending-extra-s13042-021-01307-7-s13042-021-01307-7.md,papers/raw/pending-references/s13042-021-01307-7.pdf,True,8,7,0,1,0,0,0,0
papers/notes/pending-extra-s40537-021-00444-8-s40537-021-00444-8.md,papers/raw/pending-references/s40537-021-00444-8.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-extra-science-290-5500-231-science-290-5500-2319.md,papers/raw/pending-references/science.290.5500.2319.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-extra-topoinvis2015-topoinvis2015.md,papers/raw/pending-references/TopoInVis2015.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-extra-weinberger05a-weinberger05a.md,papers/raw/pending-references/weinberger05a.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-ref-002-empirical-guidance-on-scatterplot-and-dimension-reduction.md,papers/raw/pending-references/pending-ref-002-2013-empirical-guidance-on-scatterplot-and-dimension-reduction-technique-choices.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-ref-004-information-retrieval-perspective-to-nonlinear-dimensional.md,papers/raw/pending-references/pending-ref-004-2010-information-retrieval-perspective-to-nonlinear-dimensionality-reduction-for-data-visu.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-ref-006-visual-analysis-of-dimensionality-reduction-quality-for-pa.md,papers/raw/pending-references/pending-ref-006-2014-visual-analysis-of-dimensionality-reduction-quality-for-parameterized-projections.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-ref-007-a-perception-driven-approach-to-supervised-dimensionality.md,papers/raw/pending-references/pending-ref-007-2018-a-perception-driven-approach-to-supervised-dimensionality-reduction-for-visualization.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-ref-008-nonlinear-dimensionality-reduction-by-locally-linear-embed.md,papers/raw/pending-references/pending-ref-008-2000-nonlinear-dimensionality-reduction-by-locally-linear-embedding.pdf,True,8,7,0,1,0,0,0,0
papers/notes/pending-ref-009-uniform-manifold-approximation-with-two-phase-optimization.md,papers/raw/pending-references/pending-ref-009-2022-uniform-manifold-approximation-with-two-phase-optimization.pdf,True,8,7,0,1,0,0,0,0
papers/notes/pending-ref-010-a-taxonomy-of-visual-cluster-separation-factors.md,papers/raw/pending-references/pending-ref-010-2012-a-taxonomy-of-visual-cluster-separation-factors.pdf,True,8,6,0,2,0,0,0,0
papers/notes/pending-ref-012-quality-metrics-in-high-dimensional-data-visualization-an.md,papers/raw/pending-references/pending-ref-012-2011-quality-metrics-in-high-dimensional-data-visualization-an-overview-and-systematizatio.pdf,True,8,6,0,2,0,0,0,0
papers/notes/pending-ref-013-a-survey-of-dimension-reduction-methods-for-high-dimension.md,papers/raw/pending-references/pending-ref-013-2012-a-survey-of-dimension-reduction-methods-for-high-dimensional-data-analysis-and-visual.pdf,True,8,6,0,2,0,0,0,0
papers/notes/pending-ref-014-charting-a-manifold.md,papers/raw/pending-references/pending-ref-014-2002-charting-a-manifold.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-ref-015-feature-learning-for-nonlinear-dimensionality-reduction-to.md,papers/raw/pending-references/pending-ref-015-2023-feature-learning-for-nonlinear-dimensionality-reduction-toward-maximal-extraction-of.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-ref-016-visual-interaction-with-dimensionality-reduction-a-structu.md,papers/raw/pending-references/pending-ref-016-2017-visual-interaction-with-dimensionality-reduction-a-structured-literature-analysis.pdf,True,8,7,0,1,0,0,0,0
papers/notes/pending-ref-018-a-general-framework-for-dimensionality-reducing-data-visua.md,papers/raw/pending-references/pending-ref-018-2012-a-general-framework-for-dimensionality-reducing-data-visualization-mapping.pdf,True,8,7,0,1,0,0,0,0
papers/notes/pending-ref-019-local-multidimensional-scaling.md,papers/raw/pending-references/pending-ref-019-2006-local-multidimensional-scaling.pdf,True,8,7,0,1,0,0,0,0
papers/notes/pending-ref-021-axisketcher-interactive-nonlinear-axis-mapping-of-visualiz.md,papers/raw/pending-references/pending-ref-021-2017-axisketcher-interactive-nonlinear-axis-mapping-of-visualizations-through-user-drawing.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-ref-022-human-cluster-evaluation-and-formal-quality-measures-a-com.md,papers/raw/pending-references/pending-ref-022-2012-human-cluster-evaluation-and-formal-quality-measures-a-comparative-study.pdf,True,8,6,0,2,0,0,0,0
papers/notes/pending-ref-023-visual-quality-metrics-and-human-perception-an-initial-stu.md,papers/raw/pending-references/pending-ref-023-2010-visual-quality-metrics-and-human-perception-an-initial-study-on-2d-projections-of-lar.pdf,True,8,7,0,1,0,0,0,0
papers/notes/pending-ref-024-viscoder-a-tool-for-visually-comparing-dimensionality-redu.md,papers/raw/pending-references/pending-ref-024-2018-viscoder-a-tool-for-visually-comparing-dimensionality-reduction-algorithms.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-ref-026-umap-uniform-manifold-approximation-and-projection-for-dim.md,papers/raw/pending-references/pending-ref-026-2020-umap-uniform-manifold-approximation-and-projection-for-dimension-reduction.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-ref-027-perceptionbased-visual-quality-measures.md,papers/raw/pending-references/pending-ref-027-2011-perceptionbased-visual-quality-measures.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-ref-028-visualizing-the-quality-of-dimensionality-reduction.md,papers/raw/pending-references/pending-ref-028-2013-visualizing-the-quality-of-dimensionality-reduction.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-ref-029-stability-comparison-of-dimensionality-reduction-technique.md,papers/raw/pending-references/pending-ref-029-2013-stability-comparison-of-dimensionality-reduction-techniques-attending-to-data-and-par.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-ref-030-interactive-dimensionality-reduction-for-comparative-analy.md,papers/raw/pending-references/pending-ref-030-2022-interactive-dimensionality-reduction-for-comparative-analysis.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-ref-031-interactive-visual-cluster-analysis-by-contrastive-dimensi.md,papers/raw/pending-references/pending-ref-031-2022-interactive-visual-cluster-analysis-by-contrastive-dimensionality-reduction.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-ref-032-dimensionality-reduction-for-visualizing-single-cell-data.md,papers/raw/pending-references/pending-ref-032-2019-dimensionality-reduction-for-visualizing-single-cell-data-using-umap.pdf,True,6,6,0,0,0,0,0,0
papers/notes/pending-ref-035-stress-maps-analysing-local-phenomena-in-dimensionality-re.md,papers/raw/pending-references/pending-ref-035-2010-stress-maps-analysing-local-phenomena-in-dimensionality-reduction-based-visualisation.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-ref-037-attribute-based-visual-explanation-of-multidimensional-pro.md,papers/raw/pending-references/pending-ref-037-2015-attribute-based-visual-explanation-of-multidimensional-projections.pdf,True,8,8,0,0,0,0,0,0
papers/notes/pending-ref-039-assessing-singlecell-transcriptomic-variability-through-de.md,papers/raw/pending-references/pending-ref-039-2021-assessing-singlecell-transcriptomic-variability-through-density-preserving-data-visua.pdf,True,8,8,0,0,0,0,0,0
