technique_id,technique_file,implementation_mode,primary_library,primary_kind,official_api_url,github_url,pypi_url,fallback_library,fallback_kind,fallback_api_url,fallback_github_url,fallback_pypi_url,source_note_ids
catsne,docs/techniques/catsne.md,approximation,umap-learn (supervised approximation),python,https://umap-learn.readthedocs.io/en/latest/supervised.html,https://github.com/lmcinnes/umap,https://pypi.org/project/umap-learn/,TorchDR COSNE,python,https://torchdr.github.io/dev/gen_modules/torchdr.COSNE.html,https://github.com/TorchDR/TorchDR,https://pypi.org/project/torchdr/,paper-2018-pending-ref-007;paper-2025-stop-misusing-tsne-umap
cca,docs/techniques/cca.md,direct,scikit-learn CCA,python,https://scikit-learn.org/stable/modules/generated/sklearn.cross_decomposition.CCA.html,https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/,TorchDR PCA,python,https://torchdr.github.io/dev/gen_modules/torchdr.PCA.html,https://github.com/TorchDR/TorchDR,https://pypi.org/project/torchdr/,paper-2015-pending-ref-048;paper-2014-sorzano-survey-dr-techniques
classimap,docs/techniques/classimap.md,approximation,umap-learn (supervised),python,https://umap-learn.readthedocs.io/en/latest/supervised.html,https://github.com/lmcinnes/umap,https://pypi.org/project/umap-learn/,TorchDR COSNE,python,https://torchdr.github.io/dev/gen_modules/torchdr.COSNE.html,https://github.com/TorchDR/TorchDR,https://pypi.org/project/torchdr/,paper-2015-pending-ref-044;paper-2005-zadu-ref-09
classnerv,docs/techniques/classnerv.md,approximation,umap-learn (supervised),python,https://umap-learn.readthedocs.io/en/latest/supervised.html,https://github.com/lmcinnes/umap,https://pypi.org/project/umap-learn/,TorchDR COSNE,python,https://torchdr.github.io/dev/gen_modules/torchdr.COSNE.html,https://github.com/TorchDR/TorchDR,https://pypi.org/project/torchdr/,paper-2005-zadu-ref-09;paper-2025-stop-misusing-tsne-umap
isomap,docs/techniques/isomap.md,direct,scikit-learn Isomap,python,https://scikit-learn.org/stable/modules/generated/sklearn.manifold.Isomap.html,https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/,TorchDR UMAP,python,https://torchdr.github.io/dev/gen_modules/torchdr.UMAP.html,https://github.com/TorchDR/TorchDR,https://pypi.org/project/torchdr/,paper-2009-comparative-review-dr-techniques;paper-2022-revisiting-dr-visual-cluster-analysis
kpca,docs/techniques/kpca.md,direct,scikit-learn KernelPCA,python,https://scikit-learn.org/stable/modules/generated/sklearn.decomposition.KernelPCA.html,https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/,TorchDR KernelPCA,python,https://torchdr.github.io/dev/gen_modules/torchdr.KernelPCA.html,https://github.com/TorchDR/TorchDR,https://pypi.org/project/torchdr/,paper-2014-sorzano-survey-dr-techniques;paper-2015-pending-ref-048
lamp,docs/techniques/lamp.md,research_code,Lamp (reference C++ implementation),cpp,https://github.com/gnavvy/Lamp,https://github.com/gnavvy/Lamp,,lsp-python (practical Python fallback),python,https://github.com/lvcarx/pyLSP,https://github.com/lvcarx/pyLSP,https://pypi.org/project/lsp-python/,paper-2011-zadu-ref-08;paper-2008-zadu-ref-06
laplacian_eigenmaps,docs/techniques/laplacian_eigenmaps.md,direct,scikit-learn SpectralEmbedding,python,https://scikit-learn.org/stable/modules/generated/sklearn.manifold.SpectralEmbedding.html,https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/,TorchDR PHATE,python,https://torchdr.github.io/dev/gen_modules/torchdr.PHATE.html,https://github.com/TorchDR/TorchDR,https://pypi.org/project/torchdr/,paper-2009-comparative-review-dr-techniques;paper-2014-sorzano-survey-dr-techniques
lle,docs/techniques/lle.md,direct,scikit-learn LocallyLinearEmbedding,python,https://scikit-learn.org/stable/modules/generated/sklearn.manifold.LocallyLinearEmbedding.html,https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/,TorchDR UMAP,python,https://torchdr.github.io/dev/gen_modules/torchdr.UMAP.html,https://github.com/TorchDR/TorchDR,https://pypi.org/project/torchdr/,paper-2009-comparative-review-dr-techniques;paper-2014-sorzano-survey-dr-techniques
lmds,docs/techniques/lmds.md,approximation,scikit-learn MDS (local-window protocol),python,https://scikit-learn.org/stable/modules/generated/sklearn.manifold.MDS.html,https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/,lsp-python,python,https://github.com/lvcarx/pyLSP,https://github.com/lvcarx/pyLSP,https://pypi.org/project/lsp-python/,paper-2009-zadu-ref-07;paper-2008-zadu-ref-06
